59710.883 17.223 0.005 18.691 0.020 LT 
59713.900 17.216 0.005 18.699 0.020 LT 
59720.881 17.225 0.005 18.684 0.020 LT 
59721.886 17.222 0.005 18.678 0.020 LT 
59724.940 17.213 0.005 18.696 0.020 LT 
59737.893 17.213 0.005 18.693 0.020 LT 
59882.257 17.163 0.005 18.659 0.020 LT 
59887.171 17.165 0.005 18.666 0.020 LT 
59889.198 17.172 0.005 18.631 0.020 LT 
59894.220 17.186 0.007 18.601 0.028 LT 
59901.157 17.175 0.005 18.660 0.020 LT 
59906.224 17.175 0.005 18.630 0.020 LT 
59909.163 17.180 0.005 18.668 0.020 LT 
59913.118 17.177 0.005 18.660 0.020 LT 
59929.209 17.190 0.005 18.655 0.020 LT 
59934.143 17.186 0.005 18.651 0.020 LT 
59937.087 17.198 0.005 18.670 0.020 LT 
59943.158 17.202 0.005 18.639 0.020 LT 
59949.188 17.218 0.005 18.621 0.020 LT 
59969.034 17.203 0.005 18.657 0.020 LT 
59971.118 17.206 0.005 18.618 0.020 LT 
60002.011 17.192 0.005 18.670 0.020 LT 
60004.874 17.224 0.005 18.689 0.020 LT 
60010.987 17.197 0.005 18.666 0.020 LT 
60012.913 17.208 0.005 18.672 0.020 LT 
60017.912 17.208 0.005 18.636 0.020 LT 
60028.889 17.208 0.005 18.634 0.020 LT 
60057.862 17.207 0.005 18.666 0.020 LT 
60065.867 17.205 0.005 18.691 0.020 LT 
60068.866 17.215 0.005 18.672 0.020 LT 
60077.932 17.209 0.005 18.649 0.020 LT 
60081.920 17.203 0.005 18.716 0.020 LT 
60084.904 17.211 0.005 18.691 0.020 LT 
60094.893 17.202 0.005 18.694 0.020 LT 
60251.191 17.300 0.005 18.756 0.020 LT 
60256.265 17.281 0.005 18.740 0.020 LT 
60259.271 17.294 0.005 18.773 0.020 LT 
60271.126 17.300 0.007 18.796 0.028 LT 
60290.270 17.316 0.005 18.788 0.020 LT 
60294.223 17.324 0.005 18.698 0.020 LT 
60313.162 17.304 0.005 18.729 0.020 LT 
60343.033 17.349 0.005 18.754 0.020 LT 
60351.009 17.310 0.005 18.784 0.020 LT 
60353.003 17.325 0.005 18.736 0.020 LT 
60369.026 17.354 0.005 18.774 0.020 LT 
60381.093 17.342 0.005 18.809 0.020 LT 
60404.909 17.340 0.005 18.774 0.020 LT 
